mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.017645517985026043,0.0003960413845940059,0.001459201176961263,3.388415567815521e-05,,2,10,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 10}",0.9316546762589928,0.9,0.9031007751937985,0.9115851504842638,0.014247645426935247,73
0.05322583516438802,0.003825576236979471,0.0038150946299235025,0.0009534033615588638,,2,30,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 30}",0.9712230215827338,0.95,0.9496124031007752,0.9569451415611696,0.010097225733560254,29
0.08336726824442546,0.0013621316764432724,0.004719972610473633,1.3361370844172802e-05,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9676258992805755,0.9653846153846154,0.9534883720930233,0.9621662955860714,0.006204063479632783,6
0.1139979362487793,0.0009456574924666415,0.006465593973795573,9.003941815129885e-05,,2,70,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 70}",0.9712230215827338,0.9538461538461539,0.9496124031007752,0.9582271928432209,0.009350573416055257,21
0.16318511962890625,0.0005290100862157359,0.009584347407023111,0.0007091585618812362,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9748201438848921,0.9615384615384616,0.9534883720930233,0.9632823258387924,0.008795526096395785,5
0.32925717035929364,0.0019075387058653808,0.017511367797851562,0.00021598460013618135,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9784172661870504,0.9730769230769231,0.9612403100775194,0.9709114997804976,0.007177685273898764,1
0.01656643549601237,0.00013612626804071685,0.0013481775919596355,5.1416053573024926e-05,,4,10,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 10}",0.9280575539568345,0.9038461538461539,0.8837209302325582,0.9052082126785154,0.018125956600303476,81
0.04820871353149414,0.0009525982627319437,0.0030237038930257163,4.617379987911865e-05,,4,30,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 30}",0.9568345323741008,0.9307692307692308,0.9418604651162791,0.9431547427532035,0.01068039802283577,56
0.08056147893269856,0.001047217168308481,0.0046778519948323565,4.197897578289701e-05,,4,50,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 50}",0.9748201438848921,0.9384615384615385,0.9496124031007752,0.9542980284824019,0.015208623891189483,40
0.11278478304545085,0.0013443462304719442,0.006345431009928386,9.519090474217872e-05,,4,70,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 70}",0.9712230215827338,0.9461538461538461,0.937984496124031,0.9517871212868703,0.014142141167693792,47
0.17911291122436523,0.02599054384246159,0.008864561716715494,0.00015016375284515116,,4,100,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 100}",0.9712230215827338,0.9461538461538461,0.9496124031007752,0.9556630902791183,0.011092760421966233,34
0.3326781590779622,0.016438328311867246,0.017818450927734375,0.0012213089086765935,,4,200,"{'max_depth': None, 'min_samples_split': 4, 'n_estimators': 200}",0.9712230215827338,0.9576923076923077,0.9496124031007752,0.9595092441252722,0.008915553873026902,15
0.01765275001525879,0.0001880070211064354,0.0013470649719238281,1.2144534743558925e-05,,7,10,"{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 10}",0.9100719424460432,0.9,0.8875968992248062,0.8992229472236165,0.00919183515271683,88
0.051085472106933594,0.0007790045324511998,0.0034197171529134116,0.000584782287405657,,7,30,"{'max_depth': None, 'min_samples_split': 7, 'n_estimators': 30}",0.960431654676259,0.9461538461538461,0.9186046511627907,0.9417300506642986,0.017359954505104157,57
