mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0009891192118326824,7.88562216893348e-05,0.011348724365234375,0.0003059069868921048,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",0.8705035971223022,0.8730769230769231,0.8604651162790697,0.8680152121594317,0.00544110665638128,4
0.0008417765299479166,8.003441775406656e-05,0.006845951080322266,0.00023283386021617468,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",0.9100719424460432,0.9038461538461539,0.8798449612403101,0.8979210191775024,0.013031961065886619,1
0.000778357187906901,5.670832668038828e-05,0.011463165283203125,0.0003264588564606814,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.8561151079136691,0.8576923076923076,0.8333333333333334,0.8490469163131035,0.011129822021099356,6
0.0007897218068440756,2.957565149410866e-05,0.007174253463745117,0.0002450611318418446,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.8741007194244604,0.8846153846153846,0.8565891472868217,0.8717684171088887,0.01155990831185232,2
0.0007876555124918619,8.297293877021703e-05,0.011923948923746744,0.00022694011881268627,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",0.8525179856115108,0.8423076923076923,0.8410852713178295,0.8453036497456776,0.005125658315956467,7
0.0007815361022949219,4.8598027351338294e-05,0.007337331771850586,0.00014917193371329966,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",0.8776978417266187,0.8730769230769231,0.8565891472868217,0.8691213040301212,0.00906014851867768,3
0.0007480780283610026,4.0143314025653034e-05,0.012041648228963217,0.0004405455096421678,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.8201438848920863,0.8076923076923077,0.7945736434108527,0.807469945331749,0.01044019144513789,9
0.0007581710815429688,5.756743189684321e-05,0.007576783498128255,0.00018590232497433943,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.8741007194244604,0.85,0.8372093023255814,0.853770007250014,0.015294963874638254,5
0.0007218519846598307,5.2112990811935e-05,0.012183268864949545,0.0002658888728128665,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",0.8057553956834532,0.7769230769230769,0.7596899224806202,0.78078946502905,0.019003835982764825,11
0.0007299582163492838,4.242257975423041e-05,0.007887125015258789,0.0002703151536065402,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",0.8309352517985612,0.823076923076923,0.813953488372093,0.8226552210825258,0.0069391856725503475,8
0.0007236798604329427,7.511770326707547e-05,0.012709458669026693,0.0003958281866632551,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",0.7553956834532374,0.7807692307692308,0.7170542635658915,0.7510730592627866,0.026190495366952646,12
0.0007225672403971354,4.92999557799874e-05,0.008107503255208334,0.00033130669162200014,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",0.8129496402877698,0.7846153846153846,0.7868217054263565,0.7947955767765037,0.012868423352235668,10
