mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.33765331904093426,0.04605865280488944,0.0006984074910481771,6.64252398617009e-06,logistic,0.001,"(25,)",100,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 100}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.3909947872161865,0.048187416481089373,0.0006720225016276041,5.2831582224904325e-05,logistic,0.001,"(25,)",200,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 200}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.3798774878184001,0.0283280582423645,0.0006504058837890625,4.050777733286113e-06,logistic,0.001,"(25,)",300,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 300}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.3840788205464681,0.03788935788093231,0.0006252129872639974,5.854081109588272e-06,logistic,0.001,"(25,)",400,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 400}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.38082321484883624,0.03425207870751945,0.0006209214528401693,1.3044689813389328e-05,logistic,0.001,"(25,)",500,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 500}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.38562750816345215,0.04148682878659889,0.000644842783610026,2.2822136865029858e-05,logistic,0.001,"(25,)",600,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 600}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.3832261562347412,0.03640987017471704,0.0006282329559326172,1.0300859925600465e-05,logistic,0.001,"(25,)",700,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 700}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.38426947593688965,0.031245057296671194,0.0006535847981770834,2.4520693729336274e-05,logistic,0.001,"(25,)",800,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 800}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.40122207005818683,0.022358051621934,0.003257910410563151,0.0005247017640011816,logistic,0.001,"(50,)",100,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 100}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.40501928329467773,0.01849947031463269,0.003195524215698242,0.00027929858866735654,logistic,0.001,"(50,)",200,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 200}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.40123621622721356,0.0156632674932069,0.003213008244832357,0.00030676311778783346,logistic,0.001,"(50,)",300,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 300}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.40043052037556964,0.019575803948262038,0.0031576951344807944,0.0003730140940098017,logistic,0.001,"(50,)",400,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 400}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.4126437505086263,0.025282502659985582,0.003209273020426432,0.000611748231516857,logistic,0.001,"(50,)",500,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.4194350242614746,0.018314596203786743,0.0024706522623697915,0.0012585335561914183,logistic,0.001,"(50,)",600,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 600}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.4122151533762614,0.014768437823982971,0.0034650166829427085,0.0004240925425990135,logistic,0.001,"(50,)",700,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 700}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.41436974207560223,0.018439075691237216,0.0031493504842122397,0.0004519134424468411,logistic,0.001,"(50,)",800,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 800}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.733055830001831,0.036634656889180606,0.004616578420003255,0.0004110044186009926,logistic,0.001,"(100,)",100,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'max_iter': 100}",0.9388489208633094,0.8884615384615384,0.9031007751937985,0.9101370781728821,0.02116371495485722,1165
