mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03348549207051595,0.004992897856795088,0.008860031763712565,0.00020057624147383458,0.01,0.1,100,"{'C': 0.01, 'gamma': 0.1, 'max_iter': 100}",0.7122302158273381,0.6692307692307692,0.6666666666666666,0.6827092172415913,0.020900728434109,53
0.0336918036142985,0.0031483349999625603,0.010310173034667969,0.0021440605953276346,0.01,0.1,300,"{'C': 0.01, 'gamma': 0.1, 'max_iter': 300}",0.7122302158273381,0.6692307692307692,0.6666666666666666,0.6827092172415913,0.020900728434109,53
0.03188967704772949,0.002174528051201942,0.009758472442626953,0.0008794512832766726,0.01,0.1,700,"{'C': 0.01, 'gamma': 0.1, 'max_iter': 700}",0.7122302158273381,0.6692307692307692,0.6666666666666666,0.6827092172415913,0.020900728434109,53
0.030458529790242512,0.0015831189500664575,0.008632262547810873,0.0001462870207024937,0.01,0.1,-1,"{'C': 0.01, 'gamma': 0.1, 'max_iter': -1}",0.7122302158273381,0.6692307692307692,0.6666666666666666,0.6827092172415913,0.020900728434109,53
0.03000354766845703,0.0009411080076500057,0.00862264633178711,0.00017535758077776598,0.01,0.5,100,"{'C': 0.01, 'gamma': 0.5, 'max_iter': 100}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.030056317647298176,0.0010136046602972249,0.008612553278605143,0.00013296894831796963,0.01,0.5,300,"{'C': 0.01, 'gamma': 0.5, 'max_iter': 300}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.02996524175008138,0.0009456078269909765,0.008592446645100912,0.00016520065993688913,0.01,0.5,700,"{'C': 0.01, 'gamma': 0.5, 'max_iter': 700}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.029886563618977863,0.0009323157328014408,0.008597930272420248,0.00014334256018590363,0.01,0.5,-1,"{'C': 0.01, 'gamma': 0.5, 'max_iter': -1}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.0315407911936442,0.0001819434577853135,0.008768002192179361,0.00012328835559969185,0.01,1,100,"{'C': 0.01, 'gamma': 1, 'max_iter': 100}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.030649662017822266,0.0009768047884360954,0.008634487787882486,0.00013803280419858358,0.01,1,300,"{'C': 0.01, 'gamma': 1, 'max_iter': 300}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.030755360921223957,0.0009953492134466167,0.008748531341552734,0.00019310943359800912,0.01,1,700,"{'C': 0.01, 'gamma': 1, 'max_iter': 700}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.030802567799886067,0.0010135679456223729,0.008823235829671225,0.00047451636009700595,0.01,1,-1,"{'C': 0.01, 'gamma': 1, 'max_iter': -1}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.032663424809773765,0.0008785653649602195,0.009165207544962565,8.44200054710871e-05,0.01,5,100,"{'C': 0.01, 'gamma': 5, 'max_iter': 100}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.032692670822143555,0.0011496355171769664,0.009188969930013021,8.547903656592719e-05,0.01,5,300,"{'C': 0.01, 'gamma': 5, 'max_iter': 300}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.03263338406880697,0.0010967824294550058,0.009139060974121094,0.00012312205666497315,0.01,5,700,"{'C': 0.01, 'gamma': 5, 'max_iter': 700}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.03253889083862305,0.0010472311484465509,0.009139299392700195,0.00010068455456727886,0.01,5,-1,"{'C': 0.01, 'gamma': 5, 'max_iter': -1}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.03213787078857422,0.0010299235756622924,0.010329087575276693,0.00011763524263829743,0.01,10,100,"{'C': 0.01, 'gamma': 10, 'max_iter': 100}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.03202319145202637,0.0010744636521595036,0.01031931241353353,0.00012181149262352237,0.01,10,300,"{'C': 0.01, 'gamma': 10, 'max_iter': 300}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.032138983408610024,0.0011437733581557805,0.010384877522786459,9.664206907761342e-05,0.01,10,700,"{'C': 0.01, 'gamma': 10, 'max_iter': 700}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.03227535883585612,0.0008903182127076094,0.010383923848470053,0.0001597682413116883,0.01,10,-1,"{'C': 0.01, 'gamma': 10, 'max_iter': -1}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.029944181442260742,0.001071058009343049,0.008776426315307617,0.00018360521743285095,0.05,0.1,100,"{'C': 0.05, 'gamma': 0.1, 'max_iter': 100}",0.7122302158273381,0.6692307692307692,0.6666666666666666,0.6827092172415913,0.020900728434109,53
0.029751141866048176,0.0008649440578861378,0.00915368398030599,0.0005612118902590066,0.05,0.1,300,"{'C': 0.05, 'gamma': 0.1, 'max_iter': 300}",0.7122302158273381,0.6692307692307692,0.6666666666666666,0.6827092172415913,0.020900728434109,53
0.02965084711710612,0.0009089338724164504,0.00860897699991862,0.00012970516093636434,0.05,0.1,700,"{'C': 0.05, 'gamma': 0.1, 'max_iter': 700}",0.7122302158273381,0.6692307692307692,0.6666666666666666,0.6827092172415913,0.020900728434109,53
0.029818375905354817,0.0007215057357600476,0.008632262547810873,0.0001117606569049755,0.05,0.1,-1,"{'C': 0.05, 'gamma': 0.1, 'max_iter': -1}",0.7122302158273381,0.6692307692307692,0.6666666666666666,0.6827092172415913,0.020900728434109,53
0.030000925064086914,0.0008981598016139319,0.008544445037841797,0.0001663609379348493,0.05,0.5,100,"{'C': 0.05, 'gamma': 0.5, 'max_iter': 100}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.029923121134440105,0.0009593384214697368,0.008594671885172525,0.00016646561317698325,0.05,0.5,300,"{'C': 0.05, 'gamma': 0.5, 'max_iter': 300}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.030009746551513672,0.0009970093904897916,0.00854198137919108,0.00014000163269960137,0.05,0.5,700,"{'C': 0.05, 'gamma': 0.5, 'max_iter': 700}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.029936472574869793,0.0009472825577119207,0.008556127548217773,0.00015230898401201156,0.05,0.5,-1,"{'C': 0.05, 'gamma': 0.5, 'max_iter': -1}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.030640602111816406,0.0010315918341247754,0.008584340413411459,0.00011719533638628602,0.05,1,100,"{'C': 0.05, 'gamma': 1, 'max_iter': 100}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.03072667121887207,0.001131629333702749,0.00866556167602539,0.0001904014813018978,0.05,1,300,"{'C': 0.05, 'gamma': 1, 'max_iter': 300}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.030789772669474285,0.0009222333349295816,0.008700052897135416,0.00012543571815911217,0.05,1,700,"{'C': 0.05, 'gamma': 1, 'max_iter': 700}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.03083316485087077,0.0011259088015493023,0.00870354970296224,0.00019229610882491536,0.05,1,-1,"{'C': 0.05, 'gamma': 1, 'max_iter': -1}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.0330350399017334,0.0010571898303123996,0.009138107299804688,0.00013285414038257916,0.05,5,100,"{'C': 0.05, 'gamma': 5, 'max_iter': 100}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.03299665451049805,0.0011196247323130284,0.009122292200724283,9.812584500064473e-05,0.05,5,300,"{'C': 0.05, 'gamma': 5, 'max_iter': 300}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.03417579332987467,0.0019080493487577982,0.00955947240193685,0.00022712673139996392,0.05,5,700,"{'C': 0.05, 'gamma': 5, 'max_iter': 700}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.053915818532307945,0.009750843598668095,0.01006642977396647,0.0012173755426749572,0.05,5,-1,"{'C': 0.05, 'gamma': 5, 'max_iter': -1}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.036805947621663414,0.001160309592323757,0.012079636255900065,0.00012414510333965778,0.05,10,100,"{'C': 0.05, 'gamma': 10, 'max_iter': 100}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.03478924433390299,0.00047513982894571737,0.010909159978230795,0.0008906659149669654,0.05,10,300,"{'C': 0.05, 'gamma': 10, 'max_iter': 300}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.033443848292032875,0.0016788930213298568,0.010345776875813803,0.00014061230784896868,0.05,10,700,"{'C': 0.05, 'gamma': 10, 'max_iter': 700}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.03261748949686686,0.001023153664429293,0.010298967361450195,0.0001182032092167928,0.05,10,-1,"{'C': 0.05, 'gamma': 10, 'max_iter': -1}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.03022925059000651,0.0011724605484642987,0.013214349746704102,0.0059310271264239964,0.1,0.1,100,"{'C': 0.1, 'gamma': 0.1, 'max_iter': 100}",0.7553956834532374,0.7153846153846154,0.7015503875968992,0.7241102288115839,0.02283172089764322,33
0.03050390879313151,0.0008921720570605769,0.009055614471435547,0.0002675037332966214,0.1,0.1,300,"{'C': 0.1, 'gamma': 0.1, 'max_iter': 300}",0.7553956834532374,0.7153846153846154,0.7015503875968992,0.7241102288115839,0.02283172089764322,33
0.031143744786580402,0.001864726261596069,0.009328762690226236,0.00031701939898385326,0.1,0.1,700,"{'C': 0.1, 'gamma': 0.1, 'max_iter': 700}",0.7553956834532374,0.7153846153846154,0.7015503875968992,0.7241102288115839,0.02283172089764322,33
0.02970131238301595,0.0008932388542731873,0.008714040120442709,0.00014294320024930895,0.1,0.1,-1,"{'C': 0.1, 'gamma': 0.1, 'max_iter': -1}",0.7553956834532374,0.7153846153846154,0.7015503875968992,0.7241102288115839,0.02283172089764322,33
0.02997136116027832,0.0009143214388437835,0.008606751759847006,0.00018576528935074397,0.1,0.5,100,"{'C': 0.1, 'gamma': 0.5, 'max_iter': 100}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.030971765518188477,0.0016240043998564776,0.008938868840535482,0.0002522703168680442,0.1,0.5,300,"{'C': 0.1, 'gamma': 0.5, 'max_iter': 300}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.031197786331176758,0.000846774209210845,0.0091401735941569,0.00039354024476929305,0.1,0.5,700,"{'C': 0.1, 'gamma': 0.5, 'max_iter': 700}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.030266841252644856,0.0004980630629696817,0.008643865585327148,0.00014790499174700418,0.1,0.5,-1,"{'C': 0.1, 'gamma': 0.5, 'max_iter': -1}",0.6870503597122302,0.49615384615384617,0.5387596899224806,0.5739879652628522,0.08181745233456961,61
0.030734936396280926,0.0010176932043820927,0.00862558682759603,0.00011827201071603518,0.1,1,100,"{'C': 0.1, 'gamma': 1, 'max_iter': 100}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.03100299835205078,0.0013171418092861246,0.008613506952921549,0.0001266018868785737,0.1,1,300,"{'C': 0.1, 'gamma': 1, 'max_iter': 300}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.03072818120320638,0.0010343246169486854,0.008583863576253256,0.00011868398214082738,0.1,1,700,"{'C': 0.1, 'gamma': 1, 'max_iter': 700}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.030763864517211914,0.0010161717205679677,0.0086212158203125,0.00014240276899723579,0.1,1,-1,"{'C': 0.1, 'gamma': 1, 'max_iter': -1}",0.460431654676259,0.35384615384615387,0.3643410852713178,0.39287296459791027,0.04796296036339924,73
0.03332185745239258,0.0011529148108406395,0.00917816162109375,0.00018277683088252823,0.1,5,100,"{'C': 0.1, 'gamma': 5, 'max_iter': 100}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.0357813835144043,0.002883411210713522,0.010366360346476236,0.0008273291960218454,0.1,5,300,"{'C': 0.1, 'gamma': 5, 'max_iter': 300}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.03513956069946289,0.0005120308992522067,0.009816408157348633,0.0009169742414478646,0.1,5,700,"{'C': 0.1, 'gamma': 5, 'max_iter': 700}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.03335905075073242,0.001025145939582866,0.009161074956258139,0.000156133084847523,0.1,5,-1,"{'C': 0.1, 'gamma': 5, 'max_iter': -1}",0.17985611510791366,0.15,0.1821705426356589,0.17067555258119085,0.01465032421935859,117
0.03275434176127116,0.0010062889208419204,0.010404427846272787,0.0001172496473193824,0.1,10,100,"{'C': 0.1, 'gamma': 10, 'max_iter': 100}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.03277031580607096,0.0010439956623330988,0.010390837987263998,0.0001272890771492404,0.1,10,300,"{'C': 0.1, 'gamma': 10, 'max_iter': 300}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.032840887705485024,0.0010582063412643632,0.010299126307169596,0.00013603882683262412,0.1,10,700,"{'C': 0.1, 'gamma': 10, 'max_iter': 700}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.03278827667236328,0.001061334669785126,0.010230302810668945,9.722938444480574e-05,0.1,10,-1,"{'C': 0.1, 'gamma': 10, 'max_iter': -1}",0.15467625899280577,0.12692307692307692,0.15891472868217055,0.1468380215326844,0.014187903778212314,129
0.025159756342569988,0.0007436481571973495,0.007784922917683919,0.00012741048615151564,1,0.1,100,"{'C': 1, 'gamma': 0.1, 'max_iter': 100}",0.9316546762589928,0.8884615384615384,0.8992248062015504,0.9064470069740272,0.01835813945176986,13
0.025043249130249023,0.000676192275658191,0.0077486832936604815,0.00011001036165851596,1,0.1,300,"{'C': 1, 'gamma': 0.1, 'max_iter': 300}",0.9316546762589928,0.8884615384615384,0.8992248062015504,0.9064470069740272,0.01835813945176986,13
0.025033235549926758,0.0007055322082015757,0.007763306299845378,7.683747450580232e-05,1,0.1,700,"{'C': 1, 'gamma': 0.1, 'max_iter': 700}",0.9316546762589928,0.8884615384615384,0.8992248062015504,0.9064470069740272,0.01835813945176986,13
0.02508854866027832,0.0006951927911490433,0.007788499196370442,9.71594632883111e-05,1,0.1,-1,"{'C': 1, 'gamma': 0.1, 'max_iter': -1}",0.9316546762589928,0.8884615384615384,0.8992248062015504,0.9064470069740272,0.01835813945176986,13
0.038467804590861,0.002422201170980595,0.009189526240030924,0.0004353089454303394,1,0.5,100,"{'C': 1, 'gamma': 0.5, 'max_iter': 100}",0.8453237410071942,0.8192307692307692,0.810077519379845,0.8248773432059361,0.014932891726963663,29
0.038064797719319664,0.0004010231842218918,0.008435964584350586,0.00018229445684339813,1,0.5,300,"{'C': 1, 'gamma': 0.5, 'max_iter': 300}",0.8453237410071942,0.8192307692307692,0.810077519379845,0.8248773432059361,0.014932891726963663,29
0.042535861333211265,0.005314175428815665,0.008757432301839193,0.0005282868787688518,1,0.5,700,"{'C': 1, 'gamma': 0.5, 'max_iter': 700}",0.8453237410071942,0.8192307692307692,0.810077519379845,0.8248773432059361,0.014932891726963663,29
0.036557674407958984,0.0009762746983181357,0.008338133494059244,0.00013292975559794378,1,0.5,-1,"{'C': 1, 'gamma': 0.5, 'max_iter': -1}",0.8453237410071942,0.8192307692307692,0.810077519379845,0.8248773432059361,0.014932891726963663,29
0.038230578104654946,0.0011546268295458838,0.008939345677693685,0.0003872765864210019,1,1,100,"{'C': 1, 'gamma': 1, 'max_iter': 100}",0.7482014388489209,0.676923076923077,0.6666666666666666,0.6972637274795548,0.036260964479713644,49
0.03873395919799805,0.0005100117629140534,0.008646090825398764,0.00018331245031036054,1,1,300,"{'C': 1, 'gamma': 1, 'max_iter': 300}",0.7482014388489209,0.676923076923077,0.6666666666666666,0.6972637274795548,0.036260964479713644,49
0.038477182388305664,0.0015798141583174192,0.008787711461385092,0.0002649866601140056,1,1,700,"{'C': 1, 'gamma': 1, 'max_iter': 700}",0.7482014388489209,0.676923076923077,0.6666666666666666,0.6972637274795548,0.036260964479713644,49
0.038211981455485024,0.001247924329974801,0.008599122365315756,0.00014600204748418583,1,1,-1,"{'C': 1, 'gamma': 1, 'max_iter': -1}",0.7482014388489209,0.676923076923077,0.6666666666666666,0.6972637274795548,0.036260964479713644,49
0.039618492126464844,0.0012142778932545898,0.009199857711791992,5.455046266864562e-05,1,5,100,"{'C': 1, 'gamma': 5, 'max_iter': 100}",0.2589928057553957,0.2230769230769231,0.2441860465116279,0.24208525844798223,0.01473765336385498,97
0.04016590118408203,0.0005853226454933353,0.009162267049153646,0.0001747797731219768,1,5,300,"{'C': 1, 'gamma': 5, 'max_iter': 300}",0.2589928057553957,0.2230769230769231,0.2441860465116279,0.24208525844798223,0.01473765336385498,97
0.04081265131632487,0.0010676683958180892,0.009287039438883463,0.00018363455789803374,1,5,700,"{'C': 1, 'gamma': 5, 'max_iter': 700}",0.2589928057553957,0.2230769230769231,0.2441860465116279,0.24208525844798223,0.01473765336385498,97
0.04055945078531901,0.0016145825213487771,0.00947872797648112,0.0005818065144722409,1,5,-1,"{'C': 1, 'gamma': 5, 'max_iter': -1}",0.2589928057553957,0.2230769230769231,0.2441860465116279,0.24208525844798223,0.01473765336385498,97
0.03851087888081869,0.001160310196532026,0.011186361312866211,0.0005598549860025262,1,10,100,"{'C': 1, 'gamma': 10, 'max_iter': 100}",0.18705035971223022,0.1576923076923077,0.2054263565891473,0.1833896746645617,0.019658506509653544,113
0.03632044792175293,0.001142485528388064,0.010182936986287435,0.00011710217332676702,1,10,300,"{'C': 1, 'gamma': 10, 'max_iter': 300}",0.18705035971223022,0.1576923076923077,0.2054263565891473,0.1833896746645617,0.019658506509653544,113
0.03612661361694336,0.0012119869740128892,0.010136763254801432,0.00011739047989800524,1,10,700,"{'C': 1, 'gamma': 10, 'max_iter': 700}",0.18705035971223022,0.1576923076923077,0.2054263565891473,0.1833896746645617,0.019658506509653544,113
0.036136468251546226,0.0012467404912266022,0.010182619094848633,0.00012598355968112423,1,10,-1,"{'C': 1, 'gamma': 10, 'max_iter': -1}",0.18705035971223022,0.1576923076923077,0.2054263565891473,0.1833896746645617,0.019658506509653544,113
0.026347001393636067,0.0017724311948668118,0.0076554616292317705,0.00010020660995173933,10.0,0.1,100,"{'C': [10.0], 'gamma': [0.1], 'max_iter': [100]}",0.9424460431654677,0.9153846153846154,0.9496124031007752,0.9358143538836194,0.014739286279280095,1
0.026060740152994793,0.000579487962871837,0.007686058680216472,0.00011156653553394557,10.0,0.1,300,"{'C': 10.0, 'gamma': 0.1, 'max_iter': 300}",0.9424460431654677,0.9153846153846154,0.9496124031007752,0.9358143538836194,0.014739286279280095,1
0.02657469113667806,0.0005039210535696,0.007830540339152018,0.00029380317622447477,10.0,0.1,700,"{'C': 10.0, 'gamma': 0.1, 'max_iter': 700}",0.9424460431654677,0.9153846153846154,0.9496124031007752,0.9358143538836194,0.014739286279280095,1
0.025331815083821613,0.0006178358631921838,0.007712841033935547,0.00010139790154950132,10.0,0.1,-1,"{'C': 10.0, 'gamma': 0.1, 'max_iter': -1}",0.9424460431654677,0.9153846153846154,0.9496124031007752,0.9358143538836194,0.014739286279280095,1
0.03570373853047689,0.0008766565527642024,0.008470376332600912,0.00014322460219610845,10.0,0.5,100,"{'C': 10.0, 'gamma': 0.5, 'max_iter': 100}",0.8597122302158273,0.8269230769230769,0.8333333333333334,0.8399895468240791,0.014189456812240604,17
0.03852486610412598,0.0027713921877021634,0.00852219263712565,0.0002426675108763296,10.0,0.5,300,"{'C': 10.0, 'gamma': 0.5, 'max_iter': 300}",0.8597122302158273,0.8269230769230769,0.8333333333333334,0.8399895468240791,0.014189456812240604,17
0.03908705711364746,0.0012238116006686817,0.008435726165771484,0.00010555689218157533,10.0,0.5,700,"{'C': 10.0, 'gamma': 0.5, 'max_iter': 700}",0.8597122302158273,0.8269230769230769,0.8333333333333334,0.8399895468240791,0.014189456812240604,17
0.03698611259460449,0.0005844917252321002,0.008696158727010092,0.0004312994219323315,10.0,0.5,-1,"{'C': 10.0, 'gamma': 0.5, 'max_iter': -1}",0.8597122302158273,0.8269230769230769,0.8333333333333334,0.8399895468240791,0.014189456812240604,17
0.03791340192159017,0.0008850361919545462,0.009002049763997396,0.00038747047964734886,10.0,1,100,"{'C': 10.0, 'gamma': 1, 'max_iter': 100}",0.762589928057554,0.6961538461538461,0.686046511627907,0.7149300952797689,0.03395226352895714,37
0.03830599784851074,0.0008910227886734703,0.008618672688802084,0.00022279288872640289,10.0,1,300,"{'C': 10.0, 'gamma': 1, 'max_iter': 300}",0.762589928057554,0.6961538461538461,0.686046511627907,0.7149300952797689,0.03395226352895714,37
0.0379331111907959,0.0013926852414234757,0.008657614390055338,0.0002461620225845286,10.0,1,700,"{'C': 10.0, 'gamma': 1, 'max_iter': 700}",0.762589928057554,0.6961538461538461,0.686046511627907,0.7149300952797689,0.03395226352895714,37
0.037917772928873696,0.0013201208138323454,0.008616765340169271,0.00017416857519370112,10.0,1,-1,"{'C': 10.0, 'gamma': 1, 'max_iter': -1}",0.762589928057554,0.6961538461538461,0.686046511627907,0.7149300952797689,0.03395226352895714,37
0.039989471435546875,0.001785584563852932,0.009400526682535807,0.00031038652135246435,10.0,5,100,"{'C': 10.0, 'gamma': 5, 'max_iter': 100}",0.2841726618705036,0.2653846153846154,0.2713178294573643,0.2736250355708278,0.007841771599431537,94
