mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
<<<<<<< HEAD
0.0017966429392496746,3.228926640546707e-05,0.001565694808959961,6.714295017815002e-05,1e-09,{'var_smoothing': 1e-09},0.8453237410071942,0.7884615384615384,0.7868217054263565,0.8068689949650297,0.0271998515065964,7
0.0017725626627604167,2.686793918019292e-05,0.0015590985616048176,4.379480991464249e-05,1e-08,{'var_smoothing': 1e-08},0.8561151079136691,0.7923076923076923,0.7984496124031008,0.8156241375414873,0.028741025345607376,5
0.0017240842183430989,7.014433252952162e-05,0.0015298525492350261,7.634169686895742e-05,1e-07,{'var_smoothing': 1e-07},0.8597122302158273,0.8,0.7984496124031008,0.819387280872976,0.028521069171787095,2
0.0016438961029052734,1.928392196072692e-05,0.001466194788614909,2.18525798457349e-05,1e-06,{'var_smoothing': 1e-06},0.8561151079136691,0.8,0.7945736434108527,0.8168962504415073,0.027820261471625942,3
0.0016478697458902996,2.918483202078102e-05,0.0014642079671223958,9.042097737290374e-05,1e-05,{'var_smoothing': 1e-05},0.8597122302158273,0.8,0.7906976744186046,0.8168033015448106,0.030577937962702976,4
0.0016168753306070964,5.5653703689612056e-06,0.001483917236328125,2.316548660526261e-05,0.0001,{'var_smoothing': 0.0001},0.8525179856115108,0.8076923076923077,0.813953488372093,0.8247212605586371,0.01982076417337836,1
0.0016756057739257812,2.3522623986092735e-05,0.0014608701070149739,4.6871877231752874e-05,0.001,{'var_smoothing': 0.001},0.8381294964028777,0.8115384615384615,0.7829457364341085,0.8108712314584826,0.022533615452732032,6
0.0016400814056396484,4.1452391498405474e-05,0.0014335314432779949,4.942662432392173e-05,0.01,{'var_smoothing': 0.01},0.8057553956834532,0.8153846153846154,0.7596899224806202,0.793609977849563,0.02430511722782425,8
0.0016388098398844402,9.160432201015986e-06,0.0014519691467285156,2.6978899731204008e-05,0.1,{'var_smoothing': 0.1},0.7697841726618705,0.7730769230769231,0.7093023255813954,0.750721140440063,0.029318358520972213,9
=======
0.005971670150756836,0.0018389754456914968,0.0008475780487060547,0.0006383218632933245,1e-09,{'var_smoothing': 1e-09},0.737410071942446,0.7461538461538462,0.6550387596899225,0.7128675592620715,0.04104664778705504,7
0.004811684290568034,0.0005718636269551418,0.0029420057932535806,0.002105246136805482,1e-08,{'var_smoothing': 1e-08},0.7302158273381295,0.7538461538461538,0.6744186046511628,0.7194935286118153,0.033300747341592996,6
0.003895839055379232,0.0027674947871839137,0.0025201638539632163,0.0017927214970219318,1e-07,{'var_smoothing': 1e-07},0.7446043165467626,0.7653846153846153,0.6705426356589147,0.7268438558634309,0.040704837978924005,5
0.003741661707560221,0.002060748773993908,0.002567927042643229,0.0012368452791456548,1e-06,{'var_smoothing': 1e-06},0.7446043165467626,0.7769230769230769,0.6666666666666666,0.729398020045502,0.04627845136144648,4
0.003948052724202474,0.0023764285757922297,0.001337289810180664,0.001891213386380837,1e-05,{'var_smoothing': 1e-05},0.7410071942446043,0.7846153846153846,0.6821705426356589,0.7359310404985493,0.04197667538608343,3
0.0025129318237304688,0.0014119732948890023,0.003734032313028971,0.0008525827349969412,0.0001,{'var_smoothing': 0.0001},0.7158273381294964,0.8038461538461539,0.689922480620155,0.7365319908652684,0.04875901840690756,2
0.005581299463907878,0.0011332493003934254,0.0024197896321614585,0.001711336677609514,0.001,{'var_smoothing': 0.001},0.7230215827338129,0.7961538461538461,0.6937984496124031,0.7376579595000207,0.043048998779846206,1
0.0038406848907470703,0.002365642950815605,0.0033617019653320312,0.0004737680529778203,0.01,{'var_smoothing': 0.01},0.697841726618705,0.7692307692307693,0.6627906976744186,0.7099543978412975,0.044290027555799596,8
0.004366000493367513,0.0004923879285365315,0.0015819072723388672,0.0011603264882633969,0.1,{'var_smoothing': 0.1},0.6330935251798561,0.7269230769230769,0.6472868217054264,0.6691011412694531,0.04129483098092341,9
>>>>>>> origin/master
