mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.004294236501057942,0.0013178379625462438,0.017296632130940754,0.0022021080845315393,3,uniform,"{'n_neighbors': 3, 'weights': 'uniform'}",0.7230215827338129,0.823076923076923,0.7790697674418605,0.7750560910841987,0.04094589911270676,2
0.0005045731862386068,0.0007135742431884431,0.017543474833170574,0.002064665124557634,3,distance,"{'n_neighbors': 3, 'weights': 'distance'}",0.7302158273381295,0.8153846153846154,0.7868217054263565,0.7774740493830339,0.03539269811185173,1
0.0015371640523274739,0.00043762743167265807,0.013799428939819336,0.0005054789134456454,5,uniform,"{'n_neighbors': 5, 'weights': 'uniform'}",0.697841726618705,0.7961538461538461,0.7906976744186046,0.7615644157303852,0.04511376939264403,5
0.0024826526641845703,0.0022300324067124045,0.018460750579833984,0.003308025821038777,5,distance,"{'n_neighbors': 5, 'weights': 'distance'}",0.7050359712230215,0.8115384615384615,0.7868217054263565,0.7677987127292799,0.045512641461557125,3
0.0016976197560628254,0.001265950275693754,0.02028489112854004,0.0009472811708865008,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",0.6870503597122302,0.7884615384615384,0.7713178294573644,0.748943242543711,0.04432097621140965,6
0.0015930334726969402,0.0006742648931555293,0.018831570943196613,0.000778521577287227,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",0.7014388489208633,0.8038461538461539,0.7868217054263565,0.7640355693977913,0.04480491060772672,4
0.00033354759216308594,0.000471707528533926,0.026170810063680012,0.010048717274026368,10,uniform,"{'n_neighbors': 10, 'weights': 'uniform'}",0.6798561151079137,0.75,0.7403100775193798,0.7233887308757646,0.03103535753634993,8
0.0014827251434326172,0.001058071157380693,0.018959442774454754,0.0009505945651530306,10,distance,"{'n_neighbors': 10, 'weights': 'distance'}",0.6942446043165468,0.7692307692307693,0.7790697674418605,0.7475150469963922,0.03788145121234125,7
0.0,0.0,0.01880049705505371,0.0013232262213272407,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",0.6366906474820144,0.7346153846153847,0.7054263565891473,0.6922441295621821,0.04104990351351026,11
0.0019654432932535806,0.001509426001170136,0.019095738728841145,0.0020142410793438444,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",0.6546762589928058,0.75,0.7364341085271318,0.7137034558399792,0.04210436104561797,9
0.0021812121073404946,0.0016557104676659506,0.017634868621826172,0.006481042243430288,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",0.6474820143884892,0.7423076923076923,0.6744186046511628,0.6880694371157814,0.03989767092986697,12
0.001009066899617513,0.0008265729803185953,0.02056423823038737,0.0035970610463071213,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",0.6690647482014388,0.7538461538461538,0.7093023255813954,0.7107377425429959,0.03462674305758164,10
