mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.08877650896708171,0.010720929760073397,0.0006200472513834635,4.271191193539638e-05,logistic,0.001,"(25,)",100,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 100}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.09444745381673177,0.00695743043753533,0.000633080800374349,5.137218106259339e-05,logistic,0.001,"(25,)",200,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 200}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.08956146240234375,0.007088607245010341,0.0006163120269775391,4.312850852482536e-05,logistic,0.001,"(25,)",300,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 300}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.1505295435587565,0.019008632770832982,0.0006207625071207682,9.429514248844512e-06,logistic,0.001,"(25,)",400,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 400}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.09311374028523763,0.015565622234955827,0.0008993148803710938,0.00040925352967609757,logistic,0.001,"(25,)",500,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 500}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.10460162162780762,0.015219755210877692,0.0006122589111328125,1.4448769140292224e-05,logistic,0.001,"(25,)",600,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 600}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.12445131937662761,0.02249663831443491,0.0006224314371744791,1.925179791196984e-05,logistic,0.001,"(25,)",700,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 700}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.2037372589111328,0.03575622023747845,0.0006752808888753256,4.694741052262444e-05,logistic,0.001,"(25,)",800,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (25,), 'max_iter': 800}",0.8525179856115108,0.8461538461538461,0.8798449612403101,0.8595055976685556,0.014614897664989164,1753
0.1449739933013916,0.019368863993237746,0.001184225082397461,0.00038984711244185457,logistic,0.001,"(50,)",100,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 100}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.18276492754618326,0.07823532653968684,0.004006544748942058,0.004619224049335703,logistic,0.001,"(50,)",200,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 200}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.11042547225952148,0.02468148744675854,0.0009742577870686849,0.000351302600663335,logistic,0.001,"(50,)",300,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 300}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.1173098087310791,0.014245238087396727,0.0007663567860921224,3.1465431921011955e-05,logistic,0.001,"(50,)",400,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 400}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.13819233576456705,0.023726118878940754,0.0010628700256347656,0.0003976190545106363,logistic,0.001,"(50,)",500,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 500}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.09149424235026042,0.006487522629112203,0.0007901191711425781,5.5125070349829476e-05,logistic,0.001,"(50,)",600,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 600}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.16960318883260092,0.07342469150901552,0.0008127689361572266,0.00011300856217222033,logistic,0.001,"(50,)",700,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 700}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.10571424166361491,0.02150303707106271,0.0008615652720133463,0.00015013965034772804,logistic,0.001,"(50,)",800,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (50,), 'max_iter': 800}",0.9244604316546763,0.8923076923076924,0.8565891472868217,0.8911190904163968,0.027721079720164105,1480
0.20420575141906738,0.05749139351172681,0.001017173131306966,4.2597304528960485e-05,logistic,0.001,"(100,)",100,"{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100,), 'max_iter': 100}",0.9388489208633094,0.8884615384615384,0.9031007751937985,0.9101370781728821,0.02116371495485722,1165
